,name,id,minutes,n_steps,ingredients,calories,fat_amount,sodium_amount,protein_amount,sugar_amount,saturated_fat,carbohydrates,cuisine
0,mom s italian pork chops,26222,60,5,"['oil', 'egg', 'milk', 'breadcrumb', 'pork loin chop', 'pepper']",468.8,38.0,3.0,10.0,92.0,39.0,3.0,['italian']
1,super stuffed crabs,372872,20,3,"['crab meat', 'celery rib', 'durkee onion', 'mayonnaise', 'breadcrumb', 'egg', 'durkee onion', 'pepper']",324.5,25.0,19.0,27.0,36.0,13.0,8.0,['american']
2,tuscan chicken cakes with golden aioli,64246,38,7,"['mayonnaise', 'honey mustard', 'garlic', 'chicken meat', 'breadcrumb', 'egg', 'basil pesto', 'tomato', 'durkee onion', 'oil', 'salad green', 'vinaigrette', 'tomato']",591.5,50.0,36.0,46.0,69.0,30.0,13.0,['italian']
3,amazingly quick and good chicken balls,15516,20,6,"['chicken meat', 'egg', 'breadcrumb', 'cinnamon', 'pepper', 'durkee onion', 'oil', 'tomato', 'water', 'leaf basil']",296.4,15.0,36.0,22.0,69.0,13.0,5.0,-
4,chicken burgers,137825,20,6,"['chicken meat', 'breadcrumb', 'durkee onion', 'egg', 'pepper', 'oil']",244.6,21.0,4.0,5.0,43.0,15.0,2.0,-
5,bacon  egg and cheddar scones,92160,32,21,"['purpose flour', 'baking powder', 'salt', 'butter', 'egg', 'cream', 'cheddar cheese', 'bacon']",601.5,64.0,2.0,34.0,43.0,118.0,11.0,-
6,bacon wrapped cheddar and chive duchess potatoes  sp5,514995,35,19,"['bacon', 'potato', 'egg', 'cheddar cheese', 'chive']",179.8,21.0,0.0,20.0,25.0,29.0,0.0,-
7,christmas morning breakfast tarts,533896,58,19,"['pastry', 'egg', 'bacon', 'pesto sauce', 'cheddar cheese']",456.7,49.0,2.0,12.0,25.0,47.0,9.0,-
8,king firmament s egg sandwich and potatoes,238215,15,17,"['egg', 'bacon', 'cheese', 'wheat bagel', 'potato']",478.7,32.0,5.0,31.0,41.0,41.0,16.0,-
9,single serving baked bacon  egg and cheese,392906,25,14,"['bacon', 'butter', 'egg', 'cheddar cheese']",169.9,22.0,0.0,8.0,17.0,33.0,0.0,-
10,asparagus with butter and parmesan cheese,455920,22,14,"['asparagus', 'water', 'parmesan cheese', 'butter', 'pepper']",201.1,23.0,17.0,12.0,19.0,47.0,3.0,['italian']
11,eggs napoli aka monday morning eggs,255492,10,12,"['egg', 'butter', 'pam cooking spray', 'tomato sauce', 'potato', 'cheese', 'pepper']",199.1,14.0,23.0,39.0,20.0,22.0,6.0,['italian']
12,roasted asparagus with brown butter and pecorino,61267,25,13,"['butter', 'asparagus', 'salt', 'pecorino romano cheese', 'pepper']",103.8,10.0,8.0,11.0,13.0,20.0,2.0,['italian']
13,roasted asparagus with crunchy parmesan topping,498878,24,14,"['breadcrumb', 'cheese', 'asparagus', 'olive oil', 'pepper']",147.9,14.0,8.0,8.0,12.0,11.0,3.0,['italian']
14,asparagus spears with egg,163506,20,14,"['asparagus', 'butter', 'egg', 'cheese']",193.2,19.0,18.0,7.0,25.0,31.0,3.0,-
15,almost instant and always fabulous grilled cheese,162362,4,5,"['bread', 'cheese', 'margarine']",203.4,10.0,8.0,22.0,16.0,18.0,9.0,-
16,awesome grilled cheese sandwich,244443,12,6,"['margarine', 'durkee onion', 'bread', 'cheese', 'cheese']",679.9,68.0,30.0,45.0,48.0,83.0,15.0,-
17,garlic grilled cheese,110976,8,8,"['bread', 'cheese', 'margarine', 'garlic salt']",523.4,58.0,8.0,48.0,30.0,65.0,10.0,-
18,gourmet grilled cheese,161229,14,6,"['cheese', 'miracle whip', 'jack cheese', 'cheese slice', 'bread']",363.1,32.0,9.0,32.0,30.0,62.0,9.0,-
19,grilled cheese and fish stick sandwich,387001,20,6,"['fish stick', 'bread', 'cheese', 'margarine']",787.2,68.0,19.0,79.0,76.0,100.0,19.0,-
