,name,id,minutes,n_steps,ingredients,calories,fat_amount,sodium_amount,protein_amount,sugar_amount,saturated_fat,carbohydrates,cuisine
0,budweiser pancakes,68901,20,8,"['wheat flour', 'baking powder', 'salt', 'sugar', 'egg', 'budweiser beer', 'milk', 'butter']",142.4,7.0,6.0,9.0,7.0,14.0,6.0,"['american', 'german']"
1,german fruit cake bottom,119337,35,14,"['butter', 'sugar', 'vanilla sugar', 'egg', 'wheat flour', 'baking powder', 'salt', 'milk']",404.6,31.0,76.0,13.0,15.0,60.0,16.0,['german']
2,grandma geldner s pflaum  plum  torte,206281,70,8,"['sugar', 'butter', 'wheat flour', 'baking powder', 'salt', 'egg', 'plum', 'lemon juice concentrate', 'cinnamon']",320.3,20.0,139.0,3.0,8.0,38.0,16.0,['german']
3,the best ever waffles,31750,20,7,"['wheat flour', 'baking powder', 'salt', 'sugar', 'egg', 'butter', 'milk']",323.9,30.0,17.0,26.0,14.0,59.0,9.0,['german']
4,matcha  green tea  pound cake,277010,75,12,"['wheat flour', 'tea powder', 'baking powder', 'butter', 'sugar', 'egg', 'salt']",239.6,20.0,59.0,3.0,7.0,39.0,9.0,-
5,chile rellenos,106321,60,25,"['tomato', 'durkee onion', 'garlic', 'oil', 'chicken broth', 'salt', 'jalapeno pepper', 'cinnamon', 'chily', 'jack cheese', 'peanut butter', 'purpose flour', 'egg']",286.9,26.0,22.0,13.0,32.0,44.0,5.0,['mexican']
6,healthy chicken enchiladas,134212,150,20,"['tomato', 'garlic', 'durkee onion', 'chili powder', 'cumin', 'salt', 'pepper', 'paprika', 'oil', 'chicken breast halve', 'flour tortilla', 'cheddar cheese', 'chilis']",202.6,8.0,20.0,28.0,55.0,4.0,3.0,['mexican']
7,meatballs in chipotle sauce albondigas enchipotladas,469586,60,26,"['cumin', 'oregano', 'garlic', 'durkee onion', 'grain rice', 'ground beef', 'oil', 'tomato', 'pepper', 'salt', 'adobo', 'chicken broth']",284.7,32.0,8.0,12.0,33.0,29.0,2.0,['mexican']
8,mole coloradito oaxaca,68351,140,26,"['ancho chile', 'guajillo chily', 'raisin', 'chocolate', 'garlic', 'durkee onion', 'almond', 'ground wattleseed', 'salt', 'pepper', 'thyme sprigs', 'oregano', 'tomato', 'chicken broth']",614.4,39.0,118.0,75.0,48.0,12.0,29.0,['mexican']
9,moosewood eggplant enchiladas,451156,75,22,"['oil', 'durkee onion', 'eggplant', 'salt', 'pepper', 'garlic', 'bell pepper', 'almond', 'jack cheese', 'corn tortilla', 'poblano chile', 'cumin', 'chili powder', 'tomato', 'water', 'cayenne pepper']",432.5,37.0,37.0,34.0,30.0,27.0,14.0,['mexican']
10,banana cake omani style  with variations,493594,40,13,"['butter', 'sugar', 'egg', 'vanilla', 'banana', 'wheat flour', 'baking powder', 'baking soda']",263.3,16.0,91.0,13.0,7.0,31.0,13.0,-
11,holiday m m cookies,282336,28,10,"['sugar', 'm&m', 'wheat flour', 'baking soda', 'baking powder', 'butter', 'egg', 'vanilla']",169.1,9.0,69.0,2.0,3.0,19.0,8.0,-
12,magic carpet cookies,485774,40,16,"['butter', 'sugar', 'egg', 'vanilla', 'wheat flour', 'baking powder', 'salt', 'strawberry jam']",94.6,7.0,18.0,3.0,2.0,14.0,3.0,-
13,pecan thins,70774,285,12,"['butter', 'sugar', 'sugar', 'egg', 'vanilla', 'wheat flour', 'baking powder', 'baking soda', 'pistachio']",60.8,4.0,17.0,0.0,1.0,6.0,2.0,-
14,raspberry rose cakes,201864,40,13,"['sugar', 'butter', 'egg', 'wheat flour', 'baking powder', 'milk', 'vanilla', 'strawberry jam', 'sugar']",210.0,14.0,59.0,4.0,6.0,27.0,9.0,-
15,asparagus flan,91488,50,15,"['asparagus', 'salt', 'cream', 'egg', 'wheat flour', 'pepper', 'tarragon sprig', 'oil', 'vegetable oil cooking spray']",266.9,29.0,6.0,3.0,21.0,52.0,5.0,-
16,carrot latkes  pancakes,73363,31,9,"['baby carrot', 'durkee onion', 'egg', 'salt', 'pepper', 'wheat flour', 'baking powder', 'oil']",129.1,5.0,18.0,19.0,11.0,4.0,6.0,-
17,cheese kreplach,169748,60,10,"['wheat flour', 'baking powder', 'salt', 'cream', 'egg', 'butter', 'cottage cheese', 'cheese', 'egg']",172.6,14.0,0.0,11.0,9.0,27.0,5.0,-
18,new year s eve latkes,78942,35,16,"['potato', 'baking powder', 'durkee onion', 'wheat flour', 'oil', 'salt', 'pepper', 'cream']",328.9,6.0,17.0,4.0,16.0,11.0,22.0,-
19,watermelon and rollkuchen,174706,60,12,"['cream', 'egg', 'wheat flour', 'baking powder', 'salt']",469.8,38.0,1.0,28.0,21.0,72.0,16.0,-
20,cheese and chives muffins with a gooey topping,432819,35,11,"['wheat flour', 'baking powder', 'salt', 'pepper', 'gouda cheese', 'chive', 'egg', 'buttermilk', 'oil', 'yogurt', 'garlic']",236.0,18.0,6.0,11.0,16.0,19.0,7.0,-
21,chocolate chip muffins  using freshly milled flour,288780,35,4,"['wheat flour', 'buttermilk', 'salt', 'egg', 'baking soda', 'oil', 'baking powder', 'sucanat', 'chocolate chip cookie']",213.6,18.0,19.0,14.0,7.0,13.0,7.0,-
22,feta cheese and scallion muffins with rosemary,443972,30,7,"['wheat flour', 'baking powder', 'salt', 'chili pepper', 'nutmeg', 'garlic', 'rosemary sprigs', 'pepper', 'scallion', 'feta cheese', 'egg', 'yogurt', 'oil']",208.3,17.0,8.0,11.0,12.0,17.0,6.0,-
23,herb encrusted seitan,297129,15,6,"['seitan', 'wheat flour', 'herb', 'garlic', 'salt', 'oil']",177.4,21.0,0.0,3.0,3.0,9.0,4.0,-
24,maple walnut yogurt muffins,309754,30,5,"['wheat flour', 'wheat flour', 'salt', 'baking soda', 'baking powder', 'egg', 'maple syrup', 'oil', 'yogurt', 'walnut']",204.1,14.0,27.0,10.0,10.0,8.0,8.0,-
25,apricot sauce for waffles or pancakes,101366,15,2,"['baby food', 'butter', 'maple syrup']",655.3,70.0,108.0,14.0,2.0,145.0,21.0,-
26,chocolate crumb crust,23815,15,4,"['chocolate graham cracker', 'butter']",406.9,70.0,0.0,13.0,0.0,145.0,0.0,-
27,danish  frikadeller  meat patties,12845,72,5,"['fars meatball', 'butter']",203.3,35.0,0.0,6.0,0.0,72.0,0.0,-
28,leftover spaghetti,192696,21,6,"['butter', 'spaghetti', 'cheese pasta sauce']",101.8,17.0,0.0,3.0,0.0,36.0,0.0,-
29,lingonberry butter,285809,10,6,"['lingonberry preserve', 'butter']",181.3,28.0,13.0,0.0,0.0,58.0,1.0,-
30,2 ingredient pumpkin muffins,260781,25,3,"['spice cake mix', 'sugar pumpkin']",130.2,6.0,54.0,7.0,2.0,4.0,7.0,-
31,creamy coconut rice,407690,30,3,"['coconut milk powder', 'chicken broth', 'basmati rice']",379.6,30.0,27.0,10.0,15.0,83.0,14.0,-
32,orzo with parmesan and basil,79431,30,5,"['butter', 'orzo pasta', 'chicken broth', 'parmesan cheese', 'leaf basil', 'pepper']",278.9,16.0,6.0,24.0,25.0,30.0,10.0,-
33,roasted sage potatoes,369120,75,2,"['potato', 'durkee onion', 'salt', 'pepper', 'sage', 'butter', 'chicken broth']",137.8,6.0,7.0,19.0,5.0,13.0,7.0,-
34,turmeric broth for sipping,355438,10,1,"['turmeric', 'coconut milk powder', 'chicken broth', 'coconut oil', 'ginger', 'pepper']",86.3,12.0,10.0,0.0,2.0,34.0,1.0,-
35,albert s soy sauce steak,152394,95,5,"['beef steak', 'soy sauce', 'water', 'garlic', 'onion powder', 'seasoning salt', 'pepper', 'leaf parsley', 'oregano', 'thyme']",233.8,13.0,5.0,170.0,65.0,17.0,1.0,-
36,hawaiian steak marinade  chicken too,473058,5,2,"['cider vinegar', 'pineapple juice', 'soy sauce', 'sugar', 'garlic', 'garlic']",363.6,0.0,258.0,336.0,32.0,0.0,25.0,-
37,homemade ranch dressing and dip mix,42406,4,5,"['garlic', 'onion powder', 'sugar', 'salt', 'salt', 'acid', 'leaf parsley', 'pepper']",325.2,1.0,112.0,195.0,19.0,0.0,25.0,-
38,korean barbecue tofu,113228,130,4,"['firm tofu', 'soy sauce', 'sugar', 'mustard', 'garlic', 'onion powder', 'oil']",580.8,44.0,168.0,169.0,73.0,23.0,17.0,-
39,white meat rub,92458,11,3,"['paprika', 'salt', 'garlic', 'pepper', 'onion powder', 'cayenne pepper', 'oregano', 'thyme sprigs']",334.0,11.0,71.0,292.0,30.0,6.0,23.0,-
