,name,id,minutes,n_steps,ingredients,calories,fat_amount,sodium_amount,protein_amount,sugar_amount,saturated_fat,carbohydrates,cuisine
0,leek puddings,51164,35,11,"['leek', 'durkee onion', 'butter', 'egg', 'cream', 'garlic', 'salt', 'pepper', 'lemon juice concentrate', 'leek']",219.2,29.0,9.0,7.0,9.0,56.0,2.0,-
1,london broil,28017,20,10,"['flank steak', 'durkee onion', 'salt', 'butter', 'oil', 'lemon juice concentrate', 'pepper', 'garlic']",340.1,31.0,9.0,21.0,63.0,35.0,2.0,-
2,rustic salmon pie,164584,65,16,"['purpose flour', 'butter', 'salt', 'egg', 'lemon juice concentrate', 'cream', 'potato', 'salmon', 'cheese', 'durkee onion', 'baby dill pickle', 'garlic', 'pepper', 'sauce']",408.0,39.0,3.0,24.0,40.0,70.0,8.0,-
3,shrimp delaney,261464,35,9,"['jumbo shrimp', 'oil', 'breadcrumb', 'salt', 'pepper', 'garlic', 'durkee onion', 'parsley flake', 'butter', 'lemon juice concentrate']",472.3,59.0,2.0,56.0,48.0,83.0,2.0,-
4,tuna omelet with cream cheese,109496,20,10,"['tuna', 'mayonnaise', 'durkee onion', 'cheese', 'egg', 'cream', 'butter', 'cheese', 'olive', 'baby dill pickle', 'garlic', 'onion powder', 'salt', 'pepper']",299.9,37.0,9.0,8.0,29.0,60.0,1.0,-
5,caramelized onion focaccia   bread machine,101474,70,13,"['water', 'oil', 'sugar', 'salt', 'wheat bread flour', 'yeast', 'mozzarella cheese', 'parmesan cheese', 'butter', 'durkee onion', 'garlic']",479.3,33.0,23.0,34.0,26.0,48.0,19.0,-
6,cheddar onion focaccia,54374,25,8,"['water', 'oil', 'durkee onion', 'salt', 'sugar', 'wheat bread flour', 'yeast', 'cheddar cheese', 'salt']",159.2,6.0,5.0,5.0,9.0,6.0,8.0,-
7,garlic cheese rolls for bread machine,115809,35,13,"['water', 'wheat bread flour', 'salt', 'butter', 'sugar', 'milk powder', 'yeast', 'garlic', 'parmesan cheese']",91.6,4.0,7.0,7.0,4.0,8.0,4.0,-
8,make and freeze breadsticks,330968,105,17,"['water', 'butter', 'salt', 'wheat bread flour', 'sugar', 'garlic', 'seasoning salt', 'yeast', 'parmesan cheese']",172.6,7.0,8.0,18.0,9.0,13.0,9.0,-
9,soft italian breadsticks  abm,104628,35,8,"['water', 'butter', 'salt', 'wheat bread flour', 'sugar', 'seasoning salt', 'garlic', 'yeast', 'parmesan cheese']",80.5,3.0,4.0,6.0,3.0,6.0,4.0,-
10,best ever croutons,320493,18,5,"['bread', 'butter', 'garlic', 'seasoning salt', 'parmesan cheese', 'pepper']",185.4,20.0,4.0,12.0,7.0,40.0,4.0,-
11,easy cheesy garlic toast,484372,15,9,"['bread', 'butter', 'garlic', 'pepper', 'mozzarella cheese', 'parmesan cheese']",317.2,31.0,2.0,24.0,23.0,60.0,7.0,-
12,soup reme pizza,32979,20,6,"['bread', 'mushroom soup', 'garlic', 'seasoning salt', 'chicken breast', 'mozzarella cheese', 'parmesan cheese', 'pepper', 'durkee onion']",346.6,17.0,7.0,33.0,36.0,20.0,13.0,-
13,the ultimate grilled cheese sandwich,119606,15,8,"['cheese', 'mayonnaise', 'cheddar cheese', 'mozzarella cheese', 'garlic', 'seasoning salt', 'pepper', 'bread', 'butter']",685.1,76.0,19.0,45.0,46.0,133.0,12.0,-
14,toasted garlic mozzarella bread slices,224006,16,8,"['bread', 'butter', 'oil', 'parmesan cheese', 'garlic', 'oregano', 'salt', 'pepper', 'mozzarella cheese']",386.1,37.0,1.0,29.0,23.0,67.0,10.0,-
15,bisquick blueberry banana muffins,346469,30,6,"['banana', 'milk', 'vegetable oil', 'egg', 'bisquick baking mix', 'sugar', 'cinnamon', 'blueberry']",151.3,9.0,37.0,9.0,5.0,7.0,7.0,-
16,bisquick chocolate chip banana bread,325300,60,10,"['banana', 'sugar', 'milk', 'vegetable oil', 'vanilla', 'egg', 'bisquick baking mix', 'chocolate chip cookie']",270.2,17.0,86.0,12.0,8.0,16.0,13.0,-
17,chef dine s banana quick bread,197686,45,5,"['bisquick baking mix', 'banana', 'sugar', 'milk', 'vanilla extract']",278.3,8.0,135.0,16.0,7.0,8.0,18.0,-
18,mom s mini chocolate chip pancakes,243461,20,6,"['wheat flour', 'sugar', 'milk', 'vegetable oil', 'egg', 'chocolate chip cookie']",160.5,11.0,39.0,7.0,6.0,16.0,7.0,-
19,up the scale banana shake,125967,6,3,"['banana', 'egg', 'vanilla extract', 'milk', 'sugar', 'ice cream']",157.5,5.0,83.0,1.0,7.0,9.0,8.0,-
20,ambrosia de laranja   brazilian orange pudding,456996,30,3,"['egg', 'juice', 'zest', 'sugar']",343.5,11.0,237.0,4.0,19.0,11.0,20.0,['brazilian']
21,near instant rice pudding,211942,25,5,"['egg', 'grain rice', 'milk', 'cinnamon', 'sugar']",251.4,7.0,51.0,2.0,14.0,11.0,14.0,['american']
22,ricotta cake,15518,55,8,"['chocolate cake mix', 'egg', 'oil', 'water', 'ricotta cheese', 'vanilla', 'sugar', 'cinnamon']",246.0,17.0,83.0,9.0,10.0,16.0,10.0,['italian']
23,orange juice muffins,183177,30,5,"['bisquick baking mix', 'sugar', 'egg', 'zest', 'juice']",118.9,6.0,29.0,11.0,5.0,5.0,6.0,-
24,orange upside down french toast,116096,35,9,"['butter', 'sugar', 'cinnamon', 'zest', 'egg', 'juice', 'bread']",392.1,28.0,90.0,20.0,21.0,46.0,15.0,-
25,nutty peanut butter cookies,403955,20,8,"['peanut butter', 'sugar', 'egg', 'baking soda', 'peanut butter', 'vanilla extract']",110.0,9.0,39.0,4.0,6.0,6.0,3.0,-
26,peanut butter chocolate chunk cookies,369005,29,10,"['purpose flour', 'baking soda', 'peanut butter', 'butter', 'sugar', 'sugar', 'egg', 'vanilla extract', 'semisweet chocolate']",130.7,13.0,25.0,3.0,7.0,18.0,4.0,-
27,peanut butter jumbos,276770,30,8,"['peanut butter', 'butter', 'sugar', 'sugar', 'egg', 'vanilla extract', 'oatmeal', 'baking soda', 'semisweet chocolate chip', 'm&m baking bit']",66.1,5.0,20.0,2.0,3.0,6.0,2.0,-
