,name,id,minutes,n_steps,ingredients,calories,fat_amount,sodium_amount,protein_amount,sugar_amount,saturated_fat,carbohydrates,cuisine
0,breaded fish fillets a la microwave,28365,16,3,"['halibut fillet', 'mayonnaise', 'lemon juice concentrate', 'breadcrumb', 'parmesan cheese']",127.0,2.0,0.0,4.0,52.0,2.0,0.0,-
1,nif s easy and delicious chicken salad,391016,5,1,"['chicken meat', 'mayonnaise', 'grape', 'sea salt', 'pepper']",128.5,3.0,11.0,14.0,43.0,3.0,1.0,-
2,pesto fish dish,364175,20,3,"['halibut fillet', 'mayonnaise', 'pesto sauce', 'tomato']",267.8,15.0,11.0,12.0,70.0,7.0,2.0,-
3,wasabi baked halibut,211284,25,5,"['halibut fillet', 'wasabi', 'corn flake']",246.8,7.0,0.0,5.0,91.0,3.0,0.0,-
4,white trash potato chip sandwich,169622,2,4,"['bread', 'barbecue potato chip', 'mayonnaise']",133.0,2.0,8.0,14.0,7.0,1.0,8.0,-
5,dumplings for soup,11641,4,7,"['egg', 'salt', 'soup stock', 'water', 'butter', 'wheat flour']",67.3,3.0,0.0,9.0,6.0,4.0,2.0,['german']
6,low carb ricotta gnocchi,115140,145,9,"['ricotta cheese', 'egg', 'parmesan cheese', 'salt', 'wheat flour', 'water']",162.2,18.0,1.0,7.0,22.0,36.0,0.0,['italian']
7,northern italian pumpkin gnocchi with sage butter,491363,50,7,"['sugar pumpkin', 'potato', 'wheat flour', 'egg', 'parmesan cheese', 'butter', 'sage', 'pepper']",401.3,28.0,13.0,20.0,36.0,54.0,13.0,['italian']
8,pasta dough  3  whole wheat pasta,16378,49,6,"['wheat flour', 'egg', 'water', 'salt', 'wheat flour']",151.5,2.0,0.0,12.0,12.0,2.0,9.0,['italian']
9,quick   easy frittata,74817,20,9,"['butter', 'potato', 'broccoli', 'egg', 'water', 'parmesan cheese', 'salt', 'pepper']",193.3,17.0,5.0,12.0,25.0,27.0,3.0,['italian']
10,5 teaspoon pancakes,56189,40,6,"['wheat flour', 'sugar', 'salt', 'baking powder', 'oil', 'egg', 'milk']",215.2,12.0,14.0,15.0,13.0,11.0,9.0,-
11,disney s french toast,49232,35,8,"['bread', 'egg', 'sugar', 'salt', 'vanilla extract', 'milk', 'wheat flour', 'baking powder', 'cinnamon']",275.1,7.0,121.0,17.0,13.0,12.0,17.0,-
12,kakes gordos  fried dough balls,108518,10,7,"['wheat flour', 'baking powder', 'salt', 'cinnamon', 'egg', 'milk', 'oil']",305.2,8.0,1.0,34.0,23.0,11.0,17.0,-
13,maple cinnamon muffins,113101,25,8,"['wheat flour', 'sugar', 'salt', 'cinnamon', 'sugar', 'baking powder', 'milk', 'oil', 'maple syrup', 'egg']",191.8,8.0,83.0,7.0,4.0,4.0,11.0,-
14,puffy french toast,38290,15,8,"['wheat flour', 'baking powder', 'salt', 'milk', 'sugar', 'cinnamon', 'nutmeg', 'egg', 'bread']",177.0,4.0,29.0,14.0,10.0,5.0,10.0,-
15,savory italian seasoning salt,448205,5,2,"['garlic', 'salt', 'onion powder', 'oregano', 'leaf basil', 'rosemary sprigs', 'pepper', 'cayenne pepper']",211.0,1.0,8.0,1309.0,19.0,2.0,15.0,['italian']
16,all purpose seasoning salt,209434,5,4,"['salt', 'garlic', 'durkee onion', 'pepper']",294.4,2.0,11.0,1180.0,24.0,2.0,22.0,-
17,fried green bean bundles,109410,20,4,"['bean', 'durkee onion', 'wheat flour', 'buttermilk', 'oil', 'salt', 'pepper', 'garlic']",227.2,1.0,19.0,788.0,17.0,1.0,15.0,-
18,homemade salsa and fried tortilla chips with seasoning   deen,291553,30,14,"['tomato', 'durkee onion', 'bell pepper', 'chily', 'garlic', 'wine vinegar', 'oil', 'durkee onion', 'bean', 'avocado', 'pepper', 'mango', 'pineapple chunk', 'lime', 'corn tortilla', 'oil', 'salt', 'pepper', 'garlic']",618.5,23.0,98.0,1180.0,46.0,12.0,35.0,-
19,quick and healthy vegetable beef soup  low carb and ww friendly,161789,45,6,"['ground beef', 'durkee onion', 'oil', 'garlic', 'tomato', 'chicken broth', 'bean', 'cabbage', 'champignon mushroom', 'zucchini', 'leaf', 'pepper']",243.8,14.0,50.0,403.0,39.0,21.0,6.0,-
20,easter egg hunt carrot cake,55682,105,14,"['sugar', 'canola oil', 'egg', 'wheat flour', 'baking powder', 'baking soda', 'cinnamon', 'nutmeg', 'allspice', 'salt', 'baby carrot', 'walnut', 'cheese', 'butter', 'vanilla', 'sugar', 'coconut', 'food coloring paste', 'chocolate candy']",10562.8,969.0,3689.0,245.0,213.0,1223.0,392.0,-
21,italian cream cake,331442,65,16,"['margarine', 'baking soda', 'shortening', 'buttermilk', 'sugar', 'vanilla', 'egg', 'pistachio', 'wheat flour', 'coconut', 'cheese', 'sugar', 'nut']",10500.4,914.0,3932.0,214.0,237.0,1131.0,407.0,-
22,marla gibb s carrot cake,105245,60,14,"['wheat flour', 'sugar', 'baking powder', 'baking soda', 'salt', 'cinnamon', 'pistachio', 'vegetable oil', 'egg', 'baby carrot', 'pineapple chunk', 'butter', 'light cream cheese', 'vanilla', 'sugar']",10970.5,1065.0,3708.0,306.0,168.0,1111.0,387.0,-
23,the ultimate carrot cake,68780,60,17,"['wheat flour', 'wheat flour', 'baking soda', 'cinnamon', 'salt', 'nutmeg', 'ginger', 'sugar', 'sugar', 'buttermilk', 'vegetable oil', 'egg', 'vanilla extract', 'baby carrot', 'coconut', 'pistachio', 'raisin', 'butter', 'cheese', 'sugar icing', 'zest', 'pecan halve']",11811.4,1111.0,4006.0,260.0,272.0,987.0,434.0,-
24,what s up doc cake,42078,75,6,"['wheat flour', 'sugar', 'baking soda', 'cinnamon', 'salt', 'vegetable oil', 'egg', 'baby carrot', 'vanilla extract', 'walnut', 'butter', 'cheese', 'sugar icing']",8617.6,696.0,3453.0,292.0,161.0,840.0,363.0,-
25,confit byaldi,241912,240,28,"['pepper', 'pepper', 'bell pepper', 'olive oil', 'garlic', 'durkee onion', 'tomato', 'thyme sprigs', 'parsley sprig', 'leaf', 'salt', 'zucchini', 'eggplant', 'summer squash', 'tomato', 'oil', 'thyme leave', 'pepper', 'vinegar', 'herb']",209.8,20.0,44.0,0.0,9.0,9.0,7.0,['french']
26,mediterranean pizza with caramelized onions,132001,120,36,"['oil', 'durkee onion', 'garlic', 'thyme sprigs', 'oregano', 'leave', 'salt', 'pepper', 'eggplant', 'tomato', 'leaf basil', 'caper', 'water', 'yeast', 'sugar', 'wheat flour', 'purpose flour', 'marjoram leaves', 'feta cheese', 'bell pepper', 'olive', 'cheese', 'pepper flake']",1004.9,78.0,85.0,44.0,53.0,65.0,39.0,['greek']
27,yemista me ryzi    greek stuffed vegetables  vegetarian,307218,95,34,"['bell pepper', 'zucchini', 'eggplant', 'potato', 'tomato', 'durkee onion', 'leaf parsley', 'minute rice', 'salt', 'pepper', 'oil', 'water']",1112.5,87.0,97.0,27.0,38.0,40.0,47.0,['greek']
28,curried beef and potato pots,351070,35,24,"['oil', 'durkee onion', 'curry powder', 'beef mince', 'tomato', 'potato', 'cream', 'durkee onion']",544.6,52.0,24.0,13.0,52.0,66.0,11.0,-
29,ratatouille with sole,224316,60,28,"['eggplant', 'zucchini', 'salt', 'oil', 'durkee onion', 'pepper', 'garlic', 'thyme sprigs', 'tomato', 'leaf parsley', 'pepper', 'fish fillet']",327.7,24.0,35.0,35.0,60.0,12.0,6.0,-
30,beef and rice stroganoff,87113,45,6,"['champignon mushroom', 'durkee onion', 'ground beef', 'salt', 'garlic', 'sherry', 'beef broth', 'minute rice', 'cream', 'pepper']",508.1,38.0,7.0,60.0,60.0,60.0,9.0,-
31,cube steak with mushroom sherry sauce for two,510203,22,14,"['cube steak', 'pepper', 'salt', 'oil', 'champignon mushroom', 'durkee onion', 'garlic', 'purpose flour', 'thyme leave', 'sherry', 'beef broth', 'cream']",208.8,24.0,13.0,12.0,5.0,16.0,3.0,-
32,easy spaghetti meat sauce,491594,75,8,"['ground beef', 'durkee onion', 'garlic', 'champignon mushroom', 'tomato', 'garlic', 'tomato paste', 'oregano', 'leaf basil', 'salt', 'pepper']",131.5,7.0,12.0,20.0,24.0,9.0,3.0,-
33,low fat stroganoff,66921,30,11,"['ground beef', 'durkee onion', 'champignon mushroom', 'mushroom soup', 'buttermilk', 'garlic', 'salt', 'pepper', 'cream']",303.3,29.0,9.0,17.0,51.0,46.0,2.0,-
34,weight watcher quick   easy salisbury steak,412338,20,10,"['ground beef', 'garlic', 'salt', 'pepper', 'champignon mushroom', 'durkee onion', 'thyme sprigs', 'sherry', 'beef gravy']",224.9,12.0,7.0,32.0,58.0,17.0,2.0,-
35,cherry cream cheese dessert,465198,60,7,"['cheese', 'milk', 'lemon juice concentrate', 'vanilla extract', 'strawberry pie fill', 'almond']",461.0,28.0,150.0,9.0,15.0,54.0,22.0,-
36,cherry o creamy cheesecake pie,334617,20,5,"['cracker crust', 'cheese', 'milk', 'lemon juice concentrate', 'vanilla extract', 'strawberry pie fill']",493.2,33.0,158.0,14.0,14.0,48.0,23.0,-
37,cherry topped lemon cheesecake pie,244777,20,6,"['cheese', 'milk', 'lemon juice concentrate', 'vanilla extract', 'cracker crust', 'strawberry pie fill']",503.4,34.0,157.0,14.0,15.0,53.0,23.0,-
38,no bake cheesecake,237375,195,7,"['cracker crust', 'cheese', 'milk', 'lemon juice concentrate', 'vanilla extract', 'strawberry pie fill']",579.1,42.0,199.0,16.0,19.0,68.0,24.0,-
39,no bake cherry cheesecake,205277,130,5,"['cracker crust', 'milk', 'cheese', 'lemon juice concentrate', 'vanilla extract', 'strawberry pie fill']",450.8,29.0,145.0,12.0,13.0,46.0,21.0,-
40,cabbage soup ii,3649,60,15,"['cabbage', 'durkee onion', 'shallot', 'bell pepper', 'tomato paste', 'water', 'slab bacon', 'beer', 'leave', 'paprika', 'cumin powder', 'sugar', 'salt', 'pepper']",165.9,3.0,49.0,12.0,10.0,3.0,8.0,-
41,chakchouka algeria,500788,45,21,"['oil', 'paprika', 'durkee onion', 'garlic', 'tomato', 'pepper', 'bell pepper', 'water', 'salt', 'pepper', 'egg']",139.3,16.0,23.0,0.0,4.0,7.0,3.0,-
