,name,id,minutes,n_steps,ingredients,calories,fat_amount,sodium_amount,protein_amount,sugar_amount,saturated_fat,carbohydrates,cuisine
0,brown butter green beans in the microwave,250624,17,8,"['butter', 'garlic', 'bean', 'durkee onion', 'salt', 'pepper', 'pepper flake']",116.7,13.0,7.0,14.0,4.0,27.0,3.0,-
1,brussels sprouts and red pepper,263554,40,7,"['fresh brussels sprouts', 'bell pepper', 'durkee onion', 'garlic', 'butter', 'salt', 'pepper', 'lemon juice concentrate']",187.7,18.0,23.0,5.0,11.0,37.0,6.0,-
2,caramelized onions for the grill or oven,289534,55,10,"['durkee onion', 'butter', 'beef bouillon powder', 'garlic', 'salt', 'pepper']",218.4,26.0,26.0,18.0,3.0,54.0,5.0,-
3,eggs in purgatory,360486,35,9,"['butter', 'durkee onion', 'salt', 'garlic', 'tomato', 'pepper', 'pepper flake', 'egg']",362.3,42.0,34.0,6.0,30.0,70.0,4.0,-
4,nutty flavoured asparagus,33503,20,5,"['asparagus', 'butter', 'garlic', 'pepper', 'salt']",239.2,35.0,8.0,7.0,7.0,73.0,2.0,-
5,chicken and green peppers in wine sauce,60465,140,7,"['chicken breast', 'pepper', 'garlic', 'pepper', 'durkee onion', 'celery seed', 'oil', 'ketchup', 'orange', 'juice', 'lemon', 'juice', 'sugar', 'wine']",554.6,39.0,78.0,15.0,97.0,33.0,8.0,-
6,easy fresh bean  garlic and onion saute,137328,10,11,"['wax bean', 'oil', 'durkee onion', 'garlic', 'zest', 'juice', 'pepper']",148.2,5.0,23.0,0.0,10.0,2.0,9.0,-
7,refreshingly tangy tasty tuna salad,246212,10,7,"['tuna', 'cider vinegar', 'oil', 'lemon', 'juice', 'garlic', 'grape', 'celery seed', 'pepper']",604.4,70.0,15.0,27.0,80.0,34.0,1.0,-
8,swordfish kebabs,61667,140,7,"['swordfish', 'oil', 'lemon', 'juice', 'garlic', 'paprika', 'tomato', 'durkee onion', 'pepper']",451.1,39.0,16.0,7.0,91.0,25.0,2.0,-
9,whole roasted italian lemon herb chicken,349646,140,11,"['chicken meat', 'seasoning salt', 'seasoning salt', 'pepper', 'mustard powder', 'garlic', 'oil', 'butter', 'lemon', 'juice', 'durkee onion', 'lemon']",590.9,70.0,4.0,7.0,77.0,67.0,1.0,-
10,braised chicken with artichoke,212505,25,9,"['oil', 'chicken breast', 'durkee onion', 'garlic', 'champignon mushroom', 'wine', 'chicken broth', 'artichoke heart', 'butter', 'wheat flour', 'leaf parsley']",611.8,46.0,25.0,41.0,86.0,45.0,12.0,-
11,bronx firehouse stuffed chicken breasts,199432,80,12,"['chicken breast', 'spinach', 'feta cheese', 'oil', 'garlic', 'butter', 'champignon mushroom', 'wheat flour', 'chicken broth']",543.0,61.0,9.0,32.0,78.0,89.0,2.0,-
12,incredible easy tetrazzini,91599,45,15,"['chicken breast', 'butter', 'angel hair pasta', 'chicken broth', 'champignon mushroom', 'half', 'wheat flour', 'garlic', 'cheddar cheese']",556.5,51.0,8.0,25.0,58.0,98.0,11.0,-
13,mom s favorite chicken,43685,35,7,"['chicken breast', 'wheat flour', 'poultry seasoning', 'garlic', 'butter']",364.0,37.0,0.0,10.0,56.0,74.0,2.0,-
14,veal scaloppine with mushrooms,264765,30,8,"['scallopini', 'wheat flour', 'salt', 'butter', 'garlic', 'champignon mushroom', 'lemon juice concentrate', 'chicken broth', 'wine']",359.3,26.0,5.0,22.0,77.0,46.0,3.0,-
15,peanut butter pound cake,60242,85,10,"['butter', 'sugar', 'egg', 'vanilla', 'peanut butter', 'wheat flour', 'baking powder', 'salt', 'peanut butter']",356.6,31.0,103.0,9.0,12.0,52.0,12.0,['american']
16,rich decadent pound cake,477562,210,14,"['butter', 'sugar', 'egg', 'wheat flour', 'vanilla', 'salt']",349.8,26.0,111.0,7.0,9.0,52.0,14.0,['american']
17,banana chip bars,30500,40,11,"['butter', 'sugar', 'sugar', 'egg', 'vanilla', 'banana', 'wheat flour', 'baking powder', 'salt', 'chocolate chip']",101.5,6.0,35.0,3.0,2.0,13.0,5.0,-
18,betty crocker s sugar cookies,444125,60,11,"['butter', 'sugar', 'egg', 'vanilla', 'wheat flour', 'baking powder', 'salt', 'sprinkle']",1096.5,77.0,268.0,56.0,30.0,151.0,48.0,-
19,quick mix spritz cookies,416158,22,10,"['wheat flour', 'sugar', 'salt', 'baking powder', 'butter', 'egg', 'vanilla']",663.2,58.0,121.0,24.0,14.0,118.0,24.0,-
20,brittany s yummy cinnamon pears,251821,11,5,"['pear', 'sugar', 'cinnamon']",183.4,0.0,155.0,0.0,1.0,0.0,16.0,-
21,broiled apricot and cheese toast,412023,5,6,"['strawberry jam', 'bread', 'cheese', 'cinnamon']",197.8,16.0,31.0,9.0,7.0,28.0,7.0,-
22,christmas morning cinnamon toast,102886,40,10,"['sugar', 'jumbo egg', 'cheese', 'bread', 'margarine', 'cinnamon']",217.6,15.0,43.0,11.0,7.0,20.0,9.0,-
23,cinnamon blintzes,81769,50,11,"['bread', 'cheese', 'jumbo egg', 'sugar', 'margarine', 'sugar', 'cinnamon']",179.8,14.0,35.0,10.0,5.0,17.0,6.0,-
24,yummy cinnamon   brown sugar cream cheese,81507,1,4,"['cheese', 'sugar', 'sugar', 'cinnamon']",95.7,11.0,20.0,3.0,2.0,21.0,1.0,-
25,basic pancake syrup,25628,7,2,"['sugar', 'sugar', 'corn syrup', 'water', 'vanilla']",1252.7,0.0,991.0,1.0,0.0,0.0,108.0,-
26,homemade brown sugar   substitute,188152,5,1,"['sugar', 'molasses']",1262.7,0.0,1173.0,2.0,0.0,0.0,108.0,-
27,limoncello glaze,510138,5,1,"['sugar', 'limoncello']",933.6,0.0,938.0,0.0,0.0,0.0,79.0,-
28,microwave   almost  maple syrup substitute,130285,9,5,"['sugar', 'sugar', 'corn syrup', 'water', 'maple extract']",2579.1,1.0,2021.0,12.0,0.0,0.0,226.0,-
29,simple baked ham,42082,120,5,"['ham', 'sugar', 'clove', 'mustard']",438.9,1.0,426.0,16.0,2.0,0.0,36.0,-
30,cajun lentil stew,35573,75,12,"['oil', 'durkee onion', 'garlic', 'water', 'leaf', 'lentil', 'tomato', 'wine', 'tomato paste', 'sugar', 'leaf basil', 'oregano', 'thyme sprigs', 'salt', 'pepper', 'zucchini']",190.4,6.0,35.0,10.0,17.0,3.0,9.0,['american']
31,outta this world sausage pasta soup,44040,42,9,"['turkey sausage', 'pepper', 'durkee onion', 'garlic', 'water', 'tomato', 'sugar', 'sauce', 'chicken bouillon granule', 'salt', 'leaf basil', 'thyme sprigs', 'bow tie pasta']",222.5,19.0,17.0,31.0,25.0,13.0,4.0,['american']
32,cheesy beef pasta,236813,35,9,"['ground beef', 'durkee onion', 'garlic', 'bell pepper', 'leaf basil', 'thyme sprigs', 'tomato', 'water', 'rotini pasta', 'salt', 'sugar', 'pepper', 'mozzarella cheese']",647.3,29.0,44.0,34.0,82.0,42.0,25.0,-
