,name,id,minutes,n_steps,ingredients,calories,fat_amount,sodium_amount,protein_amount,sugar_amount,saturated_fat,carbohydrates,cuisine
0,garlic lemon lamb sauce,65212,15,4,"['oil', 'garlic', 'lemon juice concentrate', 'salt']",496.8,83.0,1.0,1.0,1.0,35.0,1.0,-
1,hummus  hummous  a delicious recipe either way,316892,5,4,"['chickpea', 'lemon juice concentrate', 'garlic', 'oil', 'tahini sesame butter', 'paprika', 'salt']",590.8,56.0,3.0,30.0,27.0,25.0,18.0,-
2,lebanese garlic sauce,252169,30,5,"['garlic', 'lemon juice concentrate', 'salt', 'oil']",192.1,31.0,1.0,3.0,1.0,13.0,1.0,-
3,lemon chicken marinade,154928,5,4,"['oil', 'lemon juice concentrate', 'salt', 'paprika', 'onion powder', 'leaf basil', 'thyme sprigs', 'garlic']",330.4,56.0,2.0,32.0,0.0,23.0,0.0,-
4,lemon herb marinade,106832,125,5,"['oil', 'lemon juice concentrate', 'salt', 'leaf basil', 'thyme sprigs', 'garlic', 'paprika']",258.3,41.0,5.0,0.0,1.0,18.0,1.0,-
5,chicken tomato mozzarella bake,133641,90,9,"['chicken breast', 'egg', 'seasoning salt', 'pepper', 'cayenne pepper', 'garlic', 'breadcrumb', 'parmesan cheese', 'oil', 'tomato sauce', 'durkee onion', 'mozzarella cheese']",1017.6,54.0,49.0,89.0,195.0,86.0,24.0,-
6,emeril s meatball soup,331321,70,16,"['oil', 'durkee onion', 'celery seed', 'garlic', 'tomato', 'tomato paste', 'beef broth', 'seasoning salt', 'salt', 'ground beef', 'ground pork', 'egg', 'parmesan cheese', 'breadcrumb', 'ditalini', 'spinach leave', 'basil leave']",1073.0,101.0,47.0,94.0,137.0,116.0,16.0,-
7,kittencal s italian melt in your mouth meatballs,69173,50,5,"['ground beef', 'egg', 'parmesan cheese', 'breadcrumb', 'garlic', 'salt', 'pepper', 'milk', 'oregano', 'leaf parsley']",1312.6,129.0,8.0,108.0,214.0,174.0,8.0,-
8,meat ralf  makeover,185520,80,12,"['ground beef', 'sausage meat', 'breadcrumb', 'cream', 'egg', 'tomato sauce', 'durkee onion', 'garlic', 'sauce', 'salt', 'cayenne pepper']",955.7,104.0,17.0,91.0,112.0,132.0,9.0,-
9,zesty meatballs,266744,405,11,"['egg', 'salt', 'seasoning salt', 'pepper flake', 'garlic', 'durkee onion', 'ground beef', 'turkey breast', 'breadcrumb', 'parmesan cheese', 'tomato sauce', 'wine vinegar']",375.8,31.0,16.0,36.0,65.0,37.0,4.0,-
10,baked country style steak,111824,135,5,"['cube steak', 'mushroom soup', 'kitchen bouquet', 'wheat flour', 'water', 'durkee onion', 'oil']",57.6,4.0,5.0,13.0,2.0,3.0,2.0,-
11,basic pasta dough  no egg,360234,120,7,"['wheat flour', 'water', 'oil']",400.9,11.0,1.0,0.0,19.0,5.0,23.0,-
12,country style steak and gravy,91337,210,13,"['cube steak', 'wheat flour', 'pepper', 'beef bouillon granule', 'water']",133.1,10.0,0.0,1.0,32.0,13.0,0.0,-
13,pressure cooker pork with tarragon gravy,348800,40,9,"['mustard', 'durkee onion', 'oil', 'pepper', 'pork loin chop', 'water', 'wheat flour']",278.2,20.0,3.0,8.0,67.0,20.0,1.0,-
14,tatale   ghanian plantain cakes,225458,30,6,"['banana chip', 'durkee onion', 'wheat flour', 'palm oil', 'pepper', 'oil']",12.7,0.0,4.0,0.0,0.0,0.0,0.0,-
15,deliciously simple banana bread,430478,25,2,"['wheat flour', 'sugar', 'baking soda', 'salt', 'banana', 'applesauce', 'egg']",101.9,0.0,43.0,6.0,3.0,0.0,7.0,-
16,healthier chocolate banana muffins,315513,30,5,"['wheat flour', 'sugar', 'baking cocoa', 'baking soda', 'salt', 'baking powder', 'banana', 'applesauce', 'egg', 'chocolate chip cookie']",182.8,6.0,85.0,8.0,6.0,12.0,12.0,-
17,low fat  but you wouldn t know it  banana bread,350623,75,10,"['sugar', 'applesauce', 'egg', 'banana', 'purpose flour', 'wheat flour', 'baking soda', 'salt', 'baking powder']",89.0,1.0,35.0,5.0,4.0,0.0,6.0,-
18,no fat banana applesauce muffins,321760,35,7,"['wheat flour', 'sugar', 'baking powder', 'baking soda', 'cinnamon', 'nutmeg', 'salt', 'egg', 'banana', 'applesauce']",130.7,1.0,39.0,8.0,6.0,1.0,9.0,-
19,whole wheat banana muffins,245960,35,6,"['banana', 'egg', 'butter', 'applesauce', 'sugar', 'sugar', 'wheat flour', 'wheat flour', 'baking soda', 'baking powder', 'salt']",246.5,8.0,84.0,12.0,9.0,15.0,15.0,-
20,ancient egyptian chicken,311031,480,14,"['chicken meat', 'oil', 'cumin', 'coriander', 'durkee onion', 'garlic', 'cayenne pepper', 'beer', 'pepper']",1042.8,124.0,5.0,9.0,117.0,94.0,3.0,-
21,cheesy white chicken chili,393460,140,10,"['oil', 'durkee onion', 'garlic', 'chily', 'chicken meat', 'cumin', 'oregano', 'cayenne pepper', 'bean', 'chicken broth', 'jack cheese', 'salt', 'pepper', 'cream']",503.3,32.0,13.0,35.0,87.0,50.0,11.0,-
22,chilled tomatillo yogurt soup,385104,30,8,"['oil', 'durkee onion', 'tomatillo', 'garlic', 'poblano chile', 'avocado', 'chicken broth', 'cumin', 'ground cilantro', 'yogurt', 'pepper']",317.1,32.0,45.0,29.0,23.0,18.0,8.0,-
23,chunky chicken white chili,223314,30,10,"['olive oil', 'chicken breast', 'durkee onion', 'pepper', 'garlic', 'cumin', 'cayenne pepper', 'ground cilantro', 'chicken broth', 'kidney bean', 'salt', 'cheddar cheese']",514.7,18.0,23.0,39.0,124.0,11.0,12.0,-
24,spanish rice with beef,256201,55,10,"['ground beef', 'durkee onion', 'garlic', 'pepper', 'adobo', 'cumin', 'cayenne pepper', 'paprika', 'ground cilantro', 'pepper', 'salt', 'basmati rice', 'tomato sauce', 'chily', 'chicken broth']",827.1,46.0,33.0,102.0,93.0,55.0,30.0,-
25,brioches,109024,55,6,"['yeast', 'water', 'wheat bread flour', 'sugar', 'salt', 'butter', 'egg']",189.6,19.0,2.0,8.0,7.0,38.0,4.0,-
26,dinner rolls  bread machine,240353,125,8,"['egg', 'water', 'wheat bread flour', 'butter', 'salt', 'sugar', 'yeast']",158.9,12.0,8.0,6.0,5.0,25.0,6.0,-
27,holiday dinner rolls  bread machine,209800,12,8,"['water', 'egg', 'butter', 'salt', 'wheat bread flour', 'sugar', 'yeast', 'egg']",104.4,4.0,8.0,5.0,6.0,7.0,5.0,-
28,incredible soft dinner rolls  abm,107317,22,12,"['water', 'butter', 'egg', 'wheat bread flour', 'sugar', 'salt', 'yeast']",99.3,2.0,10.0,5.0,5.0,4.0,6.0,-
29,liisa s dinner rolls  abm,69753,35,6,"['water', 'egg', 'sugar', 'butter', 'milk', 'salt', 'wheat bread flour', 'yeast']",142.6,3.0,14.0,5.0,7.0,6.0,8.0,-
30,berry s chicken,91294,65,5,"['chicken breast', 'egg', 'barbecue potato chip']",148.2,4.0,0.0,3.0,57.0,3.0,0.0,-
31,busy day chicken and rice,158659,365,4,"['chicken breast', 'chicken soup', 'mushroom soup', 'chicken rice- a-roni']",375.2,17.0,0.0,41.0,56.0,16.0,12.0,-
32,duane s egg hole in one,267267,10,6,"['bread', 'margarine', 'egg']",239.4,26.0,5.0,13.0,16.0,20.0,4.0,-
33,smooshed eggs,343411,11,9,"['egg', 'bread', 'margarine', 'pepper']",276.0,17.0,10.0,16.0,32.0,17.0,8.0,-
34,sunshine toast in the oven,148399,12,7,"['bread', 'margarine', 'egg']",148.4,10.0,5.0,10.0,16.0,9.0,4.0,-
35,baked fudge,38992,60,10,"['egg', 'sugar', 'wheat flour', 'cocoa powder', 'butter', 'vanilla', 'salt', 'pistachio']",3432.8,323.0,1213.0,90.0,83.0,631.0,124.0,-
36,cardamom cookies recipe   india,482294,15,8,"['butter', 'sugar', 'cardamom', 'egg', 'wheat flour', 'salt']",4384.0,316.0,1603.0,176.0,106.0,616.0,198.0,-
37,cinnamon roll swirl cake,498315,45,8,"['wheat flour', 'salt', 'sugar', 'baking powder', 'milk', 'egg', 'vanilla', 'butter', 'sugar', 'cinnamon', 'sugar']",6917.1,470.0,2605.0,204.0,142.0,943.0,331.0,-
38,m m and chocolate chews,409,50,5,"['butter', 'egg', 'sugar', 'vanilla', 'wheat flour', 'baking soda', 'chocolate chip cookie', 'm&m', 'cocoa', 'salt']",6541.0,522.0,2506.0,181.0,122.0,1040.0,286.0,-
39,snickerdoodle bread,485772,60,9,"['wheat flour', 'baking powder', 'salt', 'cinnamon', 'butter', 'sugar', 'egg', 'vanilla', 'cream', 'cinnamon baking chip']",4887.9,362.0,1629.0,146.0,113.0,708.0,216.0,-
40,gobi ki sabzi  dry cauliflower curry,483067,25,11,"['head cauliflower', 'oil', 'cumin', 'asafoetida powder', 'durkee onion', 'ginger paste', 'garlic', 'chili powder', 'powder', 'tomato', 'salt', 'cilantro leave', 'garam masala']",135.7,11.0,27.0,26.0,8.0,5.0,5.0,['indian']
41,saag paneer  panir    indian spinach and cheese,380617,30,4,"['durkee onion', 'garlic', 'ground ginger', 'garam masala', 'coriander', 'cumin', 'chili powder', 'tomato', 'spinach', 'panir', 'yogurt', 'salt']",103.2,5.0,26.0,5.0,13.0,9.0,4.0,['indian']
