,name,id,minutes,n_steps,ingredients,calories,fat_amount,sodium_amount,protein_amount,sugar_amount,saturated_fat,carbohydrates,cuisine
0,asparagus  mushroom and tomato bake with seasoned cheese sauce,164935,40,32,"['asparagus', 'portabella mushroom', 'tomato', 'oil', 'sea salt', 'clove', 'leaf', 'durkee onion', 'milk', 'butter', 'wheat flour', 'cheddar cheese', 'mustard', 'cream', 'pepper']",568.8,53.0,44.0,23.0,64.0,107.0,13.0,-
1,creamy celery and onion casserole,416523,25,28,"['celery seed', 'durkee onion', 'butter', 'wheat flour', 'milk', 'nutmeg', 'olive oil', 'salt', 'breadcrumb']",137.9,14.0,8.0,78.0,6.0,19.0,3.0,-
2,creamy chicken lasagna   oamc,119244,80,25,"['lasagna noodle', 'chicken breast', 'durkee onion', 'butter', 'wheat flour', 'tarragon sprig', 'leaf basil', 'chicken stock', 'milk', 'baby carrot', 'broccoli', 'salt', 'pepper', 'pepper flake', 'mozzarella cheese']",457.6,25.0,14.0,17.0,64.0,46.0,14.0,-
3,green chile chowder,370100,60,26,"['jalapeno pepper', 'chili pepper', 'durkee onion', 'potato', 'seasoning salt', 'chicken stock', 'margarine', 'wheat flour', 'milk', 'cheddar cheese']",264.6,16.0,15.0,12.0,18.0,17.0,11.0,-
4,lasagna dolphin oise,116362,70,26,"['potato', 'salt', 'spinach', 'oil', 'durkee onion', 'garlic', 'leaf basil', 'oregano', 'chicken breast', 'portabella mushroom', 'milk powder', 'chicken broth', 'wine', 'wheat flour']",320.2,11.0,43.0,18.0,49.0,6.0,12.0,-
5,baked chicken with sun dried tomato pesto,72430,40,12,"['chicken breast', 'oil', 'oil', 'leaf basil', 'parmesan cheese', 'garlic', 'pepper']",354.3,35.0,0.0,7.0,64.0,27.0,1.0,['italian']
6,ciabattini frittata   shoemakers frittata,505409,35,16,"['egg', 'leaf basil', 'parmesan cheese', 'pepper', 'pancetta', 'potato', 'oil', 'durkee onion', 'garlic', 'spinach', 'pepper', 'gouda cheese']",312.2,26.0,5.0,9.0,33.0,23.0,7.0,['italian']
7,seriously stuffed mushrooms,116361,45,17,"['chicken breast', 'sausage', 'oil', 'durkee onion', 'garlic', 'wine', 'breadcrumb', 'spinach', 'parmesan cheese', 'leaf basil', 'salt', 'pepper', 'portabella mushroom', 'tomato sauce', 'oregano']",568.3,53.0,35.0,78.0,65.0,43.0,9.0,['italian']
8,sorrento stuffed chicken breasts,356234,50,16,"['vegetable oil', 'garlic', 'durkee onion', 'spinach', 'leaf parsley', 'leaf basil', 'leaf basil', 'ricotta cheese', 'mozzarella cheese', 'parmesan cheese', 'egg', 'salt', 'pepper', 'chicken breast']",665.2,60.0,10.0,32.0,132.0,76.0,3.0,['italian']
9,stuffed chicken breasts with mascarpone and white wine sauce,136534,50,30,"['chicken breast', 'ground chicken', 'garlic', 'durkee onion', 'portabella mushroom', 'leaf parsley', 'oregano', 'spinach', 'pepper', 'gouda cheese', 'parmesan cheese', 'oil', 'butter', 'cornstarch', 'mascarpone cheese', 'wine', 'leaf basil']",855.5,70.0,43.0,24.0,135.0,81.0,10.0,['italian']
