,name,id,minutes,n_steps,ingredients,calories,fat_amount,sodium_amount,protein_amount,sugar_amount,saturated_fat,carbohydrates,cuisine
0,mom s homemade hot dog chili  or  sloppy joes,50451,10,6,"['hamburger', 'ketchup', 'vinegar', 'chili powder', 'water']",280.8,20.0,55.0,31.0,49.0,25.0,5.0,['american']
1,barbecued beef  crock pot,57327,855,3,"['beef steak', 'chili powder', 'durkee onion', 'barbecue sauce', 'celery seed', 'vinegar', 'pepper', 'salt', 'water', 'pepper', 'ketchup']",336.6,14.0,22.0,48.0,105.0,15.0,2.0,-
2,hamburger hotdish with rice,216524,160,2,"['hamburger', 'celery seed', 'durkee onion', 'grain rice', 'mushroom soup', 'rice soup', 'water']",596.6,38.0,9.0,36.0,82.0,43.0,16.0,-
3,mary s sweet and sour spare ribs or pork chops,367032,150,8,"['sparerib', 'water', 'vinegar', 'chili powder', 'ketchup', 'sugar']",412.8,35.0,107.0,22.0,45.0,42.0,9.0,-
4,sweet  n sour onions,236264,20,5,"['durkee onion', 'water', 'ketchup', 'barbecue sauce', 'vinegar']",44.9,0.0,24.0,9.0,1.0,0.0,3.0,-
5,choco bread,231756,4,3,"['bread', 'butter', 'cocoa powder']",91.2,3.0,5.0,7.0,8.0,5.0,6.0,-
6,chocolate whipped butter  hershey,266170,35,2,"['butter', 'hersheys chocolate syrup', 'cocoa powder']",52.4,8.0,0.0,1.0,0.0,18.0,0.0,-
7,low carb almond pie crust,323019,15,2,"['almond meal', 'butter', 'sweetener']",112.5,16.0,2.0,1.0,6.0,13.0,1.0,-
8,low fat chocolate creamer,277194,5,3,"['cocoa powder', 'coffee creamer', 'splenda sugar substitute']",10.6,1.0,2.0,0.0,0.0,1.0,0.0,-
9,my sinless chocolate fix,190392,3,1,"['light cream cheese', 'cocoa powder', 'splenda sugar substitute']",12.4,1.0,0.0,0.0,2.0,2.0,0.0,-
10,bek s famous pico de gallo,289407,10,6,"['tomato', 'durkee onion', 'ground cilantro', 'lime juice concentrate', 'garlic', 'oregano', 'cumin', 'salt']",34.3,0.0,16.0,0.0,3.0,0.0,2.0,-
11,cuban style braised chicken,340142,160,11,"['chicken drumstick', 'salt', 'pepper', 'oregano', 'cumin', 'garlic', 'juice', 'lime juice concentrate', 'durkee onion', 'oil']",292.1,25.0,11.0,23.0,57.0,19.0,2.0,-
12,greek caponata,317704,65,8,"['juice', 'zucchini', 'summer squash', 'tomato', 'eggplant', 'durkee onion', 'potato', 'garlic', 'olive oil', 'salt', 'pepper', 'oregano']",246.5,21.0,43.0,46.0,10.0,10.0,9.0,-
13,mexicali stewed chicken breast,379675,45,11,"['chicken breast', 'tomato', 'durkee onion', 'chily', 'garlic', 'lime juice concentrate', 'habanero sauce', 'salt', 'pepper']",90.6,1.0,9.0,11.0,29.0,1.0,2.0,-
14,mojo beef kabobs,216586,25,15,"['juice', 'lime juice concentrate', 'oil', 'oregano', 'leaf parsley', 'cumin', 'garlic', 'salt', 'sirloin steak', 'pepper', 'lime', 'durkee onion', 'tomato']",280.9,23.0,18.0,9.0,52.0,15.0,3.0,-
15,best ham and split pea soup,148042,130,9,"['pea', 'chicken broth', 'corn niblet', 'baby carrot', 'ham', 'durkee onion', 'milk', 'pepper']",242.3,6.0,36.0,22.0,38.0,8.0,11.0,-
16,milky carrots,132202,25,3,"['baby carrot', 'durkee onion', 'butter', 'milk', 'pepper']",88.4,9.0,6.0,2.0,4.0,19.0,2.0,-
17,quick tomato alphabet soup,72984,27,10,"['butter', 'durkee onion', 'baby carrot', 'celery seed', 'chicken broth', 'leaf basil', 'pepper', 'tomato', 'alphabet pasta', 'milk']",241.1,8.0,38.0,14.0,15.0,15.0,13.0,-
18,split pea soup  vegetarian  easy,255423,70,12,"['pea', 'chicken broth', 'durkee onion', 'butter', 'baby carrot', 'water', 'pepper']",319.6,7.0,36.0,2.0,38.0,12.0,17.0,-
19,winter soup,275129,55,10,"['butter', 'durkee onion', 'bouquet garni', 'celery seed', 'baby carrot', 'potato', 'chicken broth', 'pea', 'wheat elbow macaroni', 'pepper']",364.6,6.0,26.0,15.0,24.0,10.0,23.0,-
20,quick chicken paprika,214369,25,15,"['chicken breast', 'durkee onion', 'chicken broth', 'tomato', 'paprika', 'salt', 'pepper', 'butter', 'baby dill pickle']",305.0,22.0,24.0,68.0,61.0,39.0,5.0,-
21,shepherd pie,357040,75,14,"['potato', 'butter', 'milk', 'ground beef', 'durkee onion', 'barbecue sauce', 'cheese fantastico salad dress', 'chili powder', 'salt', 'pepper', 'corn', 'bean', 'cheddar cheese', 'paprika']",828.8,61.0,57.0,65.0,72.0,77.0,28.0,-
22,simple crunchy potato and onion casserole   low cal,64097,80,16,"['durkee onion', 'potato', 'butter', 'salt', 'pepper']",243.5,6.0,16.0,6.0,11.0,12.0,15.0,-
23,tri colour sweet pepper soup,412524,60,19,"['butter', 'durkee onion', 'pepper', 'pepper', 'pepper', 'chicken stock', 'paprika']",123.0,8.0,21.0,10.0,11.0,12.0,4.0,-
24,western beef casserole au gratin,207687,50,18,"['ground beef', 'durkee onion', 'tomato sauce', 'garlic', 'salt', 'pepper', 'corn', 'water', 'butter', 'milk', 'potato', 'chily', 'cheddar cheese', 'tomato']",481.3,42.0,22.0,45.0,59.0,77.0,10.0,-
25,basic whole wheat bread,25082,290,18,"['water', 'yeast', 'wheat flour', 'salt', 'oil']",1655.1,38.0,7.0,121.0,120.0,18.0,108.0,-
26,nauvoo french bread,263141,100,15,"['sugar', 'salt', 'yeast', 'water', 'wheat flour', 'egg white']",1433.4,6.0,29.0,147.0,90.0,3.0,99.0,-
27,rustic french bread,206002,65,23,"['wheat flour', 'water', 'yeast', 'wheat flour', 'salt']",1197.3,5.0,3.0,48.0,68.0,2.0,83.0,-
